Search And Destroy,Submission,Sex Pistols,179.0ø
Stock Exchange,First Album,Miss Kittin & The Hacker,346.8ø
Slow Track,First Album,Miss Kittin & The Hacker,178.0ø
Nurse,First Album,Miss Kittin & The Hacker,316.1ø
Life On MTV,First Album,Miss Kittin & The Hacker,264.8ø
L'Homme dans l'Ombre,First Album (2009 Reissue),Miss Kittin & The Hacker,253.6ø
Frank Sinatra 2001,First Album,Miss Kittin & The Hacker,293.1ø
DJ Song,First Album,Miss Kittin & The Hacker,184.8ø
Virgin Mary,Noel,Joan Baez,183.4ø
Rake And Rambling Boy,Joan Baez,Joan Baez,118.6ø
I Know You Rider,Joan Baez,Joan Baez,225.0ø
Girl Of Constant Sorrow,Joan Baez,Joan Baez,105.0ø
Burgundian Carol,Noel,Joan Baez,277.7ø
No Hope Bar,Single's Round-Up,Holly Golightly,168.0ø
No Big Thing,Single's Round-Up,Holly Golightly,194.9ø
Swinger,A Flight and a Crash,Hot Water Music,161.4ø
Sunday Suit,A Flight and a Crash,Hot Water Music,180.5ø
She Takes It So Well,A Flight and a Crash,Hot Water Music,168.0ø
Paper Thin,A Flight and a Crash,Hot Water Music,144.9ø
One More Time,A Flight and a Crash,Hot Water Music,132.5ø
Old Rules,A Flight and a Crash,Hot Water Music,170.5ø
Jack Of All Trades,A Flight and a Crash,Hot Water Music,163.7ø
Instrumental,A Flight and a Crash,Hot Water Music,98.1ø
In The Gray,A Flight and a Crash,Hot Water Music,228.3ø
Choked And Separated,A Flight and a Crash,Hot Water Music,209.5ø
Call It Trashing,A Flight and a Crash,Hot Water Music,171.2ø
A Flight and a Crash,A Flight and a Crash,Hot Water Music,128.1ø
A Clear Line,A Flight and a Crash,Hot Water Music,194.5ø
La Vampa Delle Impressioni (Live),The Complete 1,Marlene Kuntz,495.0ø
Chi Mi Credo D'Essere,Che Cosa Vedi,Marlene Kuntz,220.9ø
Your Woman [Interlude],Your Woman,Sunshine Anderson,77.1ø
Your Woman,Your Woman,Sunshine Anderson,209.7ø
You Do You,Your Woman,Sunshine Anderson,241.1ø
Where Have You Been,Your Woman,Sunshine Anderson,252.5ø
Vulnerability [Skit],Your Woman,Sunshine Anderson,62.3ø
Spoken Word [Skit],Your Woman,Sunshine Anderson,116.0ø
Saved The Day,Your Woman,Sunshine Anderson,208.6ø
Lunch Or Dinner,Your Woman,Sunshine Anderson,244.6ø
Letting Down My Guard,Your Woman,Sunshine Anderson,228.9ø
Heard It All Before,Your Woman,Sunshine Anderson,290.0ø
He Said_ She Said,Your Woman,Sunshine Anderson,215.6ø
Crazy Love,Your Woman,Sunshine Anderson,278.0ø
Better Off,Your Woman,Sunshine Anderson,244.7ø
Being Away,Your Woman,Sunshine Anderson,252.5ø
Airport [Skit],Your Woman,Sunshine Anderson,130.9ø
A Little Sunshine [Intro],Your Woman,Sunshine Anderson,37.8ø
A Little Sunshine,Your Woman,Sunshine Anderson,218.0ø
Slip & Slide (Suicide),Resist,Kosheen,213.7ø
Resist,Resist,Kosheen,285.8ø
Repeat To Fade,Resist,Kosheen,277.6ø
Playing Games,Resist,Kosheen,254.6ø
Let Go,Resist,Kosheen,258.9ø
I Want It All,Resist,Kosheen,304.9ø
Hungry,Resist,Kosheen,325.4ø
Harder,Resist,Kosheen,257.6ø
Face In A Crowd,Resist,Kosheen,222.3ø
Cruelty,Resist,Kosheen,245.0ø
Cover,Resist,Kosheen,228.2ø
Rain On My Parade,The Collection,Eric Roberson,327.4ø
Tug Of War,Everybody Got Their Something,Nikka Costa,272.4ø
Some Kind of Beautiful,Everybody Got Their Something,Nikka Costa,185.4ø
So Have I For You,Everybody Got Their Something,Nikka Costa,310.0ø
Push & Pull (Album Version),Everybody Got Their Something,Nikka Costa,326.6ø
Nikka Who?,Everybody Got Their Something,Nikka Costa,43.2ø
Like A Feather,Everybody Got Their Something,Nikka Costa,235.2ø
Hope It Felt Good,Everybody Got Their Something,Nikka Costa,232.8ø
Heaven Sinner,Like A Feather,Nikka Costa,243.6ø
Everybody Got Their Something,Blue Crush Soundtrack,Nikka Costa,261.9ø
How Many?,DPG,Daz Dillinger & Kurupt Young Gotti,236.4ø
Coastin,DPG,Daz Dillinger & Kurupt Young Gotti,217.7ø
At Night,DPG,Daz Dillinger & Kurupt Young Gotti,254.9ø
WHO WE ARE,Many More Roads,Ky Mani Marley,232.8ø
Valley Of Decision,Many More Roads,Ky Mani Marley,228.8ø
Many More Roads,Many More Roads,Ky Mani Marley,228.9ø
Love In The Morning,Many More Roads,Ky Mani Marley,235.5ø
In A De Dance,Many More Roads,Ky Mani Marley,223.7ø
Hailie I,Many More Roads,Ky Mani Marley,232.4ø
Giving I A Fight,Many More Roads,Ky Mani Marley,239.4ø
Freedom,Many More Roads,Ky Mani Marley,228.4ø
Quisiera ser (unplugged),MTV Unplugged,Alejandro Sanz,282.0ø
Quiero morir en tu veneno (unplugged),MTV Unplugged,Alejandro Sanz,269.2ø
Cuando Nadie Me Ve,Grandes exitos 1991-2004,Alejandro Sanz,308.6ø
Tell Me,Pleasures U Like,Jon B.,296.9ø
Pleasures U Like,Pleasures U Like,Jon B.,229.2ø
Lonely Girl,Pleasures U Like,Jon B.,266.7ø
Do It All Again,Pleasures U Like,Jon B.,295.7ø
Cocoa Brown,Pleasures U Like,Jon B.,238.7ø
Calling On You,Pleasures U Like,Jon B.,280.0ø
Boy Is Not A Man,Pleasures U Like,Jon B.,261.9ø
You Are Alive (Warp Brothers Remix),You Are Alive,Fragma,444.2ø
You Are Alive (Radio Edit),You Are Alive,Fragma,214.1ø
You Are Alive (Extended Version),You Are Alive,Fragma,361.2ø
You Are Alive (Dub Version),You Are Alive,Fragma,319.0ø
You Are Alive (Blank & Jones Remix),You Are Alive,Fragma,468.2ø
Toca's Miracle (Life Of Riley Remix),Everytime You Need Me,Fragma,408.2ø
Toca's Miracle (DJ Garry's 2001 Remix),Everytime You Need Me,Fragma,256.1ø
Everytime You Need Me (Radio Edit) (Feat. Maria Rubia),Everytime You Need Me,Fragma Featuring Maria Rubia,218.5ø
Everytime You Need Me (Pulsedriver Remix) (Instrumental),Everytime You Need Me,Fragma,440.8ø
Everytime You Need Me (Jam X & De Leon's 'Dumonde' Remix) (Feat. Maria Rubia),Everytime You Need Me,Fragma Featuring Maria Rubia,469.9ø
Everytime You Need Me (Extended Version) (Feat. Maria Rubia),Everytime You Need Me,Fragma Featuring Maria Rubia,315.4ø
Everytime You Need Me (Above & Beyond Remix) (Feat. Maria Rubia),Everytime You Need Me,Fragma Featuring Maria Rubia,511.9ø
Maiz,Martes,Murcof,365.9ø
Rise & Shine,Music Is Life,Beres Hammond,223.7ø
Mary Mary,Music Is Life,Beres Hammond,244.5ø
Dusty Road,Music Is Life,Beres Hammond,239.9ø
Angel Eyes,Music Is Life,Beres Hammond,241.9ø
African People,Music Is Life,Beres Hammond Feat. Pam Hall & Bopee,257.2ø
Sin city,Secrets,Human League,262.0ø
Shameless,Secrets,Human League,235.6ø
Ringinglow,Secrets,Human League,201.2ø
Release,Secrets,Human League,115.9ø
Ran,Secrets,Human League,49.0ø
Never give your heart,Secrets,Human League,228.2ø
Love me madly,Secrets,Human League,245.0ø
Liar,Secrets,Human League,198.9ø
All I Ever Wanted,The Very Best Of The Human League,The Human League,234.4ø
122.3 BPM,Secrets,Human League,99.2ø
Old,A Place Called Home,Ignite,109.8ø
I'm Bored,A Place Called Home,Ignite,127.0ø
Threatening Skies (Album Version),Anthology,Obituary,75.7ø
Slowly We Rot (Reissue) (Album Version),Anthology,Obituary,218.4ø
Intoxicated (Reissue) (Album Version),Anthology,Obituary,280.6ø
Internal Bleeding (Reissue) (Album Version),Anthology,Obituary,182.1ø
By The Light (Album Version),Anthology,Obituary,176.2ø
Buried Alive (Album Version),Anthology,Obituary,213.6ø
Boiling Point (212 Sporadic Mix) (Album Version),Anthology,Obituary,222.0ø
Back From The Dead (Album Version),Anthology,Obituary,298.9ø
Out Deh,The Very Best of Gregory Isaacs Gold,Gregory Isaacs,216.5ø
Never Be Ungrateful,All I Have Is Love Anthology 1968 to 1995,Gregory Isaacs,220.9ø
Extra Classic,The Sensational Extra Classics,Gregory Isaacs,193.8ø
Simple Things,Greatest Hits,Jim Brickman,209.9ø
Journey,Pure Jim Brickman,Jim Brickman,182.3ø
Another Tuesday Morning,Pure Jim Brickman,Jim Brickman,206.1ø
Ways Of Thought,Creating Patterns,4hero | Face V. Walsh,268.9ø
Unique,Creating Patterns,4hero | Patricia Marx,283.6ø
Twothesme,Creating Patterns,4hero,363.0ø
Time,Creating Patterns,4hero | Ursula Rucker,280.3ø
Something Nothing,Creating Patterns,4hero | Lady Alma | Face V. Walsh,156.9ø
Hold It Down,Creating Patterns,4hero | Lady Alma,311.4ø
Eight,Creating Patterns,4hero,343.0ø
Conceptions,Creating Patterns,4hero,339.7ø
Blank Cells,Creating Patterns,4hero,299.7ø
2-Bs-74638,Creating Patterns,4hero,238.4ø
Another Chance,Renaissance The Classics,Roger Sanchez,420.5ø
Saajana,Realize,Karsh Kale,365.9ø
Longing,Realize,Karsh Kale,483.6ø
Light Up the Love,Realize,Karsh Kale,283.9ø
Empty Hands,Realize,Karsh Kale,384.2ø
Deepest Blue,Realize,Karsh Kale,245.9ø
Conception,Realize,Karsh Kale,275.0ø
Anja,Realize,Karsh Kale,369.9ø
Pearl Snaps,Texas Fed_ Texas Bred: Redefining Country Music_ Vol. 2,Jason Boland and The Stragglers,203.0ø
Drinkin' Song,Brewed In Texas Volume 2,Jason Boland & The Stragglers,230.3ø
What You Need,Musique Concrete,Calibre,415.9ø
Vice,Musique Concrete,Calibre,375.1ø
Version,Musique Concrete,Calibre,390.9ø
U Make It Hot,Musique Concrete,Calibre,376.0ø
Say If You Love,Musique Concrete,Calibre,385.7ø
Sax Track,Musique Concrete,Calibre,394.0ø
Run Again,Musique Concrete,Calibre,402.5ø
Right Stuff,Musique Concrete,Calibre,388.2ø
Light Years,Musique Concrete,Calibre,357.5ø
Let The Music Play,Musique Concrete,Calibre,374.1ø
Jane's Twitch,Jane's Twitch / 3AM,Calibre,440.6ø
Inflicted,Musique Concrete,Calibre,354.1ø
Future Life,Musique Concrete,Calibre,426.0ø
Feeder,Musique Concrete,Calibre,390.1ø
Deep Everytime,Musique Concrete,Calibre,463.7ø
Always,Musique Concrete,Calibre,390.6ø
3AM,Jane's Twitch / 3AM,Calibre,515.3ø
Everybody Dance (MOTIVA RPL MIX),The Very Best Of Chic,Chic,362.5ø
vein,The Cold Vein,Cannibal Ox,267.4ø
The F-Word,The Cold Vein,Cannibal Ox,327.7ø
Stress Rap,The Cold Vein,Cannibal Ox,331.8ø
Straight Off The D.I.C.,The Cold Vein,Cannibal Ox,257.1ø
Scream Phoenix,The Cold Vein,Cannibal Ox,305.3ø
Ridiculoid,The Cold Vein,Cannibal Ox,286.7ø
Real Earth,The Cold Vein,Cannibal Ox,237.1ø
Raspberry fields,The Cold Vein,Cannibal Ox,241.7ø
Pigeon,The Cold Vein,Cannibal Ox,370.2ø
Painkillers,The Cold Vein,Cannibal Ox,358.9ø
Ox Out Of The cage,The Cold Vein,Cannibal Ox,209.0ø
Battle For Asgard,The Cold Vein,Cannibal Ox,266.5ø
A B-Boys Alpha,The Cold Vein,Cannibal Ox,267.6ø
Uviol,Confield,Autechre,515.4ø
Sim Gishel,Confield,Autechre,434.7ø
Pen Expers,Confield,Autechre,428.0ø
Parhelic Triangle,Confield,Autechre,363.7ø
Eidetic Casein,Confield,Autechre,372.2ø
Cfern,Confield,Autechre,401.2ø
Bine,Confield,Autechre,281.0ø
On My Way To Heaven,A Rock In The Weary Land / Too Close To Heaven,The Waterboys,240.7ø
Shattered Glass,The Quadraplex EP,DJ Food,100.0ø
Hour Glass,The Quadraplex EP,DJ Food,239.9ø
Hate In Yo Eyes,Bang Or Ball,Mack 10,313.3ø
Lovin' Each Day,Iris,Ronan Keating,213.3ø
Yesterday (Album Version),Destination Unknown,Mest,159.0ø
Without You (Album Version),Destination Unknown,Mest,169.6ø
Reason (Album Version),Destination Unknown,Mest,172.7ø
Opinions (Album Version),Destination Unknown,Mest,189.0ø
Mother's Prayer (Album Version),Destination Unknown,Mest,155.4ø
Misunderstood (Album Version),Destination Unknown,Mest,181.2ø
Living Dead (Album Version),Destination Unknown,Mest,117.0ø
Keeps Me Moving On (Hidden Track),Destination Unknown,Mest,181.9ø
It's Over (Album Version),Destination Unknown,Mest,176.9ø
Fuct Up Kid (Album Version),Destination Unknown,Mest,122.9ø
Drawing Board (Album Version),Destination Unknown,Mest,211.1ø
Chelsea (Album Version),Destination Unknown,Mest,175.0ø
Cadillac (Album Version),Destination Unknown,Mest,167.4ø
Breakin' Down (Album Version),Destination Unknown,Mest,151.0ø
Another Day (Album Version),Destination Unknown,Mest,173.9ø
Wouldn't It Be Cool,Never Love You Enough,Chely Wright,184.7ø
While I Was Waiting,Never Love You Enough,Chely Wright,208.5ø
One Night In Las Vegas,Never Love You Enough,Chely Wright,254.8ø
Jezebel,Never Love You Enough,Chely Wright,192.0ø
Horoscope,Never Love You Enough,Chely Wright,251.1ø
For The Long Run,Never Love You Enough,Chely Wright,254.7ø
Deep Down Low,Never Love You Enough,Chely Wright,282.3ø
In The Open,Busy Body!!! Live In Tacoma 1964,The Sonics,182.1ø
If I Walked Away,Dreams Can Come True - Greatest Hits Volume 1,Gabrielle,203.7ø
Don't Need The Sun To Shine (To Make Me Smile),Dreams Can Come True - Greatest Hits Volume 1,Gabrielle,210.0ø
