You Don't Know What It's Like,Brand New History,Econoline Crush,245.7ø
You Never Remind Me (LP Version),It's No Secret Anymore,Linda Eder,190.4ø
Why Do People Fall In Love? (LP Version),It's No Secret Anymore,Linda Eder,219.1ø
This Time Around (LP Version),It's No Secret Anymore,Linda Eder,244.4ø
Romancin' The Blues (LP Version),It's No Secret Anymore,Linda Eder,234.5ø
One For My Baby (LP Version),It's No Secret Anymore,Linda Eder,263.2ø
Never Dance (LP Version),It's No Secret Anymore,Linda Eder,271.5ø
Looks Like You Started Something (LP Version),It's No Secret Anymore,Linda Eder,233.8ø
Little Things (LP Version),It's No Secret Anymore,Linda Eder,242.5ø
It's No Secret Anymore (LP Version),It's No Secret Anymore,Linda Eder,204.7ø
I Guess I Love You (LP Version),It's No Secret Anymore,Linda Eder,210.9ø
Havana (LP Version),It's No Secret Anymore,Linda Eder,239.3ø
Even Now (LP Version),It's No Secret Anymore,Linda Eder,240.0ø
You Don't Know What Love Is,Another World,Dena DeRose,338.1ø
More Than You Know,Another World,Dena DeRose,304.1ø
In The Wee Small Hours,Another World,Dena DeRose,301.1ø
Hi-Fly,Another World,Dena DeRose,410.7ø
Beautiful Friendship,Another World,Dena DeRose,315.6ø
The Summer I Drank Myself To Death,The Moon,Wooden Stars,290.6ø
Romantic Machinery,The Moon,Wooden Stars,167.1ø
Rebel Radios,The Moon,Wooden Stars,216.8ø
Outlaws,The Moon,Wooden Stars,243.2ø
Come Back,The Moon,Wooden Stars,169.0ø
Baby_ You've Got What I Need,The Moon,Wooden Stars,288.3ø
Woman_ Woman,Super Hits,Gary Puckett & The Union Gap,212.5ø
Make It Easy On Yourself,Where Are You Now: The Pye Anthology,Jackie Trent,164.2ø
To The Goddess Electricity,To The Goddess Electricity,Rational Youth,157.6ø
The Ghosts of Montreal,To The Goddess Electricity,Rational Youth,210.1ø
Talk to Me (I'm Only Human),To The Goddess Electricity,Rational Youth,230.2ø
Pink Pills_ Orange Pills,To The Goddess Electricity,Rational Youth,294.5ø
Open Your Heart,To The Goddess Electricity,Rational Youth,191.3ø
Money and Blood,To The Goddess Electricity,Rational Youth,306.9ø
Ludwigshafen,To The Goddess Electricity,Rational Youth,276.3ø
In My Imagination,To The Goddess Electricity,Rational Youth,219.0ø
Everything is Vapour,To The Goddess Electricity,Rational Youth,221.9ø
Energie,To The Goddess Electricity,Rational Youth,218.1ø
Back From Madrapour,To The Goddess Electricity,Rational Youth,256.0ø
Die Nacht hat viele Gesichter,Einer von uns,Heino,187.7ø
Adler flieg hinaus,Einer von uns,Heino,212.0ø
Camping Jazz,Puzzle,Chateau Flight,255.4ø
Why Don't You Love Me,Blue River,Eric Andersen,164.7ø
Los Cinco Sentidos,Dolor de Garganta,Javier Krahe,266.1ø
Vranjanskij Ekspres,Klezmer's Paradise,Di Grine Kuzine,261.6ø
Stepil Dobri,Klezmer's Paradise,Di Grine Kuzine,263.3ø
Salut Naftule,Klezmer's Paradise,Di Grine Kuzine,94.1ø
Nokh A Glezl Vayn,Klezmer's Paradise,Di Grine Kuzine,265.7ø
Lebedik Naftule Bulgar,Klezmer's Paradise,Di Grine Kuzine,228.6ø
Chava,Klezmer's Paradise,Di Grine Kuzine,327.4ø
Asi Pare',Klezmer's Paradise,Di Grine Kuzine,239.3ø
Araber Tants,Klezmer's Paradise,Di Grine Kuzine,288.2ø
Aman,Klezmer's Paradise,Di Grine Kuzine,179.6ø
A Glezl Vayn,Klezmer's Paradise,Di Grine Kuzine,178.1ø
Used To,324 E. 13th Street #7,Roy Montgomery,185.7ø
Times Three,324 E. 13th Street #7,Roy Montgomery,141.5ø
Submerged & Colourful,324 E. 13th Street #7,Roy Montgomery,183.3ø
On The Road I,324 E. 13th Street #7,Roy Montgomery,185.4ø
Long Night,324 E. 13th Street #7,Roy Montgomery,211.0ø
It's Cold Outside,324 E. 13th Street #7,Roy Montgomery,184.1ø
Intertidal,324 E. 13th Street #7,Roy Montgomery,228.7ø
German Sister,324 E. 13th Street #7,Roy Montgomery,234.9ø
Fine_ Fine. Fine,324 E. 13th Street #7,Roy Montgomery,324.6ø
Film As A Subversive Art,324 E. 13th Street #7,Roy Montgomery,169.2ø
E.N.D.,324 E. 13th Street #7,Roy Montgomery,243.5ø
Adrift,324 E. 13th Street #7,Roy Montgomery,201.3ø
Draggin' The River,Capitol Collectors Series,Ferlin Husky,128.8ø
Wide Awake,Portrait,Celtus,229.3ø
Waiting For The Rain,Portrait,Celtus,327.6ø
Two Worlds,Portrait,Celtus,259.2ø
Touch You,Portrait,Celtus,262.5ø
The Awakening,Portrait,Celtus,289.9ø
Science Of Love,Portrait,Celtus,212.6ø
Bubble,Portrait,Celtus,325.8ø
Watchmen Of The Wild,Gathered Around The Oaken Table,Mithotyn,313.0ø
The Well Of Mimir,Gathered Around The Oaken Table,Mithotyn,274.4ø
The Old Rover,Gathered Around The Oaken Table,Mithotyn,224.8ø
Nocturnal Riders,Gathered Around The Oaken Table,Mithotyn,185.0ø
Lord Of Lionhead,Gathered Around The Oaken Table,Mithotyn,308.2ø
In The Clash Of Aons,Gathered Around The Oaken Table,Mithotyn,398.5ø
Imprisoned,Gathered Around The Oaken Table,Mithotyn,270.8ø
Hearts Of Stone,Gathered Around The Oaken Table,Mithotyn,294.1ø
Guided By History,Gathered Around The Oaken Table,Mithotyn,391.0ø
Chariots Of Power,Gathered Around The Oaken Table,Mithotyn,351.9ø
The Wall Of Heaven (Gift Horse Album Version),Gift Horse,Lost Dogs,273.5ø
Rebecca Go Home (Gift Horse Album Version),Gift Horse,Lost Dogs,242.3ø
Loved And Forgiven (Gift Horse Album Version),Gift Horse,Lost Dogs,286.9ø
If You Loved Here You'd Be Home By Now (Gift Horse Album Version),Gift Horse,Lost Dogs,187.6ø
Honeysuckle Breeze (Gift Horse Album Version),Gift Horse,Lost Dogs,175.8ø
Ghost Train To Nowhere (Gift Horse Album Version),Gift Horse,Lost Dogs,279.3ø
Farther Along (Gift Horse Album Version),Gift Horse,Lost Dogs,250.6ø
Ditto (Gift Horse Album Version),Gift Horse,Lost Dogs,257.1ø
Diamonds To Coal (Gift Horse Album Version),Gift Horse,Lost Dogs,223.6ø
A Vegas Story (Gift Horse Album Version),Gift Horse,Lost Dogs,292.0ø
A Blessing In Disguise (Gift Horse Album Version),Gift Horse,Lost Dogs,276.6ø
Rock And Roll,That's How Rhythm Was Born,The Boswell Sisters with Jimmie Grier & His Orchestra,164.3ø
Two-Bit Faux Construction,Pedals,The Aluminum Group,270.3ø
Rose Selavy's Valise,Pedals,The Aluminum Group,560.2ø
Paperback,Pedals,The Aluminum Group,275.1ø
Miss Tate,Pedals,The Aluminum Group,234.5ø
Lie Detector Test,Pedals,The Aluminum Group,199.9ø
Jinxed,Pedals,The Aluminum Group,251.0ø
Impress Me,Pedals,The Aluminum Group,229.9ø
Easy on Your Eyes,Pedals,The Aluminum Group,273.4ø
$35 ,Pedals,The Aluminum Group,351.3ø
Young Man Cut Down In His Prime,Albion Sunrise,The Albion Band,260.9ø
This Blessed Plot,Albion Sunrise,The Albion Band,322.4ø
Jigs: The Switchback/ The New Book/ The Slippery Slope,Albion Sunrise,The Albion Band,177.7ø
Ivory Tower,Albion Sunrise,The Albion Band,180.9ø
Circle Round The Sun,Albion Sunrise,The Albion Band,282.5ø
Bedtime At Bryn Rhodyn,Albion Sunrise,The Albion Band,326.9ø
Albion Heart,Albion Sunrise,The Albion Band,289.4ø
Here's To You,Influences Ep: Compiled By Dj Marky,Skyy,311.4ø
La Vida Circular,Belleza,Juana La Loca,271.0ø
Daddy's Little Girl,The Best Of Karla Bonoff: All My Life,Karla Bonoff,265.2ø
Windy,Balanced On A Pin,Greg MacPherson,227.4ø
West St. James,Balanced On A Pin,Greg MacPherson,247.2ø
Summer's Over,Balanced On A Pin,Greg MacPherson,276.6ø
Lawn,Balanced On A Pin,Greg MacPherson,332.4ø
Genuinely Frozen,Balanced On A Pin,Greg MacPherson,210.1ø
Churchill,Balanced On A Pin,Greg MacPherson,136.9ø
Ceilings,Balanced On A Pin,Greg MacPherson,256.2ø
Buy A Ticket,Balanced On A Pin,Greg MacPherson,175.4ø
1000 Stars,Balanced On A Pin,Greg MacPherson,143.0ø
401,Balanced On A Pin,Greg MacPherson,205.5ø
Day Tripper,Morning Cup Of Jazz,Mongo Santamaria,324.4ø
Congo Blue,Skins,Mongo Santamaria,345.5ø
Unbelievable,Tracie (International Only),Tracie Spencer,307.5ø
Still In My Heart,Tracie (International Only),Tracie Spencer,257.3ø
Nothing Broken But My Heart,Tracie (International Only),Tracie Spencer,287.3ø
Not Gonna Cry,Tracie (International Only),Tracie Spencer,267.8ø
No Matter,Tracie (International Only),Tracie Spencer,262.6ø
Love To You,Tracie (International Only),Tracie Spencer,278.0ø
It's On Tonight,Tracie (International Only),Tracie Spencer,261.6ø
It's All About You (Not About Me),Tracie (International Only),Tracie Spencer,254.7ø
Interlude (All About Love),Tracie (International Only),Tracie Spencer,92.4ø
If U Wanna Get Down,Tracie (International Only),Tracie Spencer,258.1ø
Hold On I'm Coming,Chronicle,The Soul Children,203.5ø
Blowin' The Blues Away,Blowin' The Blues Away,Horace Silver Quintet And Trio,283.5ø
Treasure (Album Version),Stars,Lori Carson,220.3ø
Stars (Album Version),Stars,Lori Carson,244.2ø
Rainy Day (Album Version),Stars,Lori Carson,135.2ø
Head In A Box (Album Version),Stars,Lori Carson,156.9ø
Fourth Of July (Album Version),Stars,Lori Carson,331.0ø
Caroline (Album Version),Stars,Lori Carson,270.7ø
16 Days (Album Version),Stars,Lori Carson,266.9ø
Your Eyes Are Dreaming,Trojan Lovers Collection,Jackie Edwards,198.6ø
In Paradise,Trojan Lovers Collection,Jackie Edwards,175.1ø
I'm Still Waiting,Bounce It Back Selector,Jackie Edwards,212.7ø
The Way To You,Smooth Jazz: Sexual Healing,Nelson Rangell,291.9ø
Graduation Day,Sweet_ Smooth & Sexy! The Ultimate Collection of Sax For Lovers,Nelson Rangell,167.3ø
Always,Smooth Jazz: Sax At Midnight,Nelson Rangell,267.2ø
Will & Skip,Trippy Notes For Bass & Remixes,Doug Wimbish,129.6ø
Veneered,Trippy Notes For Bass & Remixes,Doug Wimbish,343.2ø
Splash,Trippy Notes For Bass & Remixes,Doug Wimbish,219.0ø
Quasimodo,Trippy Notes For Bass & Remixes,Doug Wimbish,92.6ø
Perplex,Trippy Notes For Bass & Remixes,Doug Wimbish,311.2ø
Pass It Around,Trippy Notes For Bass & Remixes,Doug Wimbish,80.7ø
Logdrum,Trippy Notes For Bass & Remixes,Doug Wimbish,251.4ø
Leave It Alone,Trippy Notes For Bass & Remixes,Doug Wimbish,296.2ø
Just Another Minute,Trippy Notes For Bass & Remixes,Doug Wimbish,74.5ø
Glorification Chant,Trippy Notes For Bass & Remixes,Doug Wimbish,354.7ø
Gangster,Trippy Notes For Bass & Remixes,Doug Wimbish,339.6ø
Daze,Trippy Notes For Bass & Remixes,Doug Wimbish,202.3ø
Bedwood,Trippy Notes For Bass & Remixes,Doug Wimbish,319.2ø
Arabic Cat,Trippy Notes For Bass & Remixes,Doug Wimbish,278.8ø
Watching,Regions Less Parallel: Early Works and Rarities 1996-2015,Auburn Lull,233.8ø
Tidal,Alone I Admire,Auburn Lull,175.1ø
The Last Beat,Alone I Admire,Auburn Lull,228.5ø
Stockard Drive,Alone I Admire,Auburn Lull,274.6ø
Old Mission,Alone I Admire,Auburn Lull,198.4ø
June Tide,Regions Less Parallel: Early Works and Rarities 1996-2015,Auburn Lull,274.3ø
Finland Station,Alone I Admire,Auburn Lull,257.8ø
Early Evening Reverie,Alone I Admire,Auburn Lull,238.6ø
Blur My Thoughts Again,Alone I Admire,Auburn Lull,290.1ø
Between Trains,Alone I Admire,Auburn Lull,337.8ø
Astor Heaven,Regions Less Parallel: Early Works and Rarities 1996-2015,Auburn Lull,259.0ø
A Harbored Distance,Regions Less Parallel: Early Works and Rarities 1996-2015,Auburn Lull,197.4ø
Kaya,Les titres essentiels reggae,Ronnie Davis,219.7ø
Swanee River Boogie,Jazz Piano Masters Vol. 9,Albert Ammons,152.4ø
Bottom Blues,Savoir Ecouter Le Blues (Listening to Blues),Albert Ammons,273.8ø
What Are They Doing In Heaven Today,Elizabethtown - Music From The Motion Picture - Vol. 2,Washington Phillips,195.9ø
Sexuality,Meltin Pot Vol. 1,Gazzara,295.1ø
Rhodes To Bahia,The Spirit Of Summer,Gazzara,347.8ø
Variety Theme,Down By Law & Variety,John Lurie,92.2ø
Swamp,Down By Law & Variety,John Lurie,46.7ø
Porno Booth II,Down By Law & Variety,John Lurie,55.3ø
Porno Booth,Down By Law & Variety,John Lurie,75.1ø
Million Dollar Walk,Down By Law & Variety,John Lurie,95.3ø
Garter Belt,Down By Law & Variety,John Lurie,137.7ø
End Titles,Down By Law & Variety,John Lurie,162.5ø
Anders Leaps In,Down By Law & Variety,John Lurie,62.1ø
Where The Wild Things Are,The Taste Of Rain... Why Kneel,Deep Puddle Dynamics,323.3ø
The Scarecrow Speaks,The Taste Of Rain... Why Kneel,Deep Puddle Dynamics,356.1ø
The Candle,The Taste Of Rain... Why Kneel,Deep Puddle Dynamics,353.9ø
June 26th_ 1999 - Slight,The Taste Of Rain... Why Kneel,Deep Puddle Dynamics,353.1ø
June 26th_ 1999 - Purpose,The Taste Of Rain... Why Kneel,Deep Puddle Dynamics,206.4ø
June 26th_ 1999 - Mothers Of Invention,The Taste Of Rain... Why Kneel,Deep Puddle Dynamics,184.1ø
June 26th_ 1999 - Exist,The Taste Of Rain... Why Kneel,Deep Puddle Dynamics,184.8ø
June 26th_ 1998,The Taste Of Rain... Why Kneel,Deep Puddle Dynamics,379.4ø
Heavy Ceiling,The Taste Of Rain... Why Kneel,Deep Puddle Dynamics,329.6ø
Deep Puddle Theme Song,The Taste Of Rain... Why Kneel,Deep Puddle Dynamics,414.6ø
D. Mothers of Invention,Anticon Label Sampler 1999 - 2004,Deep Puddle Dynamics,154.6ø
May Our Amens Be True,Best Of Rotary Connection,Rotary Connection | Minnie Riperton,184.1ø
Love Me Now,Her Chess Years,Rotary Connection | Minnie Riperton,167.8ø
Living Alone,Her Chess Years,Rotary Connection | Minnie Riperton,175.4ø
Creative Writing,Seniors And Juniors,Marshmallow Coast,258.4ø
Ancient Chinese Secret,Seniors And Juniors,Marshmallow Coast,157.2ø
Die In A Dream,Elements Of Creation,Supreme Majesty,251.2ø
The Ripple Effect,Fragments Of An Untold Story Born By Shunning The Opportunity,This Day Forward,312.8ø
Significant Others,Fragments Of An Untold Story Born By Shunning The Opportunity,This Day Forward,216.0ø
Lost Eyes,Fragments Of An Untold Story Born By Shunning The Opportunity,This Day Forward,172.9ø
Kissing Perfection's Cheek,Fragments Of An Untold Story Born By Shunning The Opportunity,This Day Forward,180.0ø
Kill The Script,Fragments Of An Untold Story Born By Shunning The Opportunity,This Day Forward,301.9ø
If I Wore A Mask,Fragments Of An Untold Story Born By Shunning The Opportunity,This Day Forward,268.6ø
I Repent,Fragments Of An Untold Story Born By Shunning The Opportunity,This Day Forward,156.9ø
Dead Acres,Fragments Of An Untold Story Born By Shunning The Opportunity,This Day Forward,257.9ø
Avarice,Fragments Of An Untold Story Born By Shunning The Opportunity,This Day Forward,217.0ø
Arise,Fragments Of An Untold Story Born By Shunning The Opportunity,This Day Forward,166.8ø
You Don't Want Me,Bluff City,Compulsive Gamblers,275.0ø
Pepper Spray Boogie,Bluff City,Compulsive Gamblers,156.3ø
One-Eyed Girl,Bluff City,Compulsive Gamblers,283.4ø
Mystery Girl,Bluff City,Compulsive Gamblers,218.5ø
My Love Is A Monster,Bluff City,Compulsive Gamblers,205.3ø
I Don't Wanna Laugh At You,Bluff City,Compulsive Gamblers,280.4ø
I Call You Mine,Bluff City,Compulsive Gamblers,256.5ø
Don't Come Looking For Me Now,Bluff City,Compulsive Gamblers,227.9ø
Need To Know,Celebrate! Songs of Worship,Dawkins & Dawkins,275.8ø
Walkin' With Zach,Alley Cats,Gene Harris,418.2ø
Put It Where You Want It,Instant Party,Gene Harris,347.1ø
Jive Samba,Alley Cats,Gene Harris,362.8ø
You Never Cease To Amaze Me,Future Plans Undecided,Element 101,195.4ø
Some Things Are Better Left Unsaid,Future Plans Undecided,Element 101,64.4ø
Some Chances Are Worth Taking,Future Plans Undecided,Element 101,164.3ø
So Unpredictable,Future Plans Undecided,Element 101,133.8ø
Preconceived Notions,Future Plans Undecided,Element 101,130.2ø
Only In Pictures,Future Plans Undecided,Element 101,178.7ø
Leaving Me Before The Spring Semester,Future Plans Undecided,Element 101,152.6ø
Keeping Secrets,Future Plans Undecided,Element 101,158.3ø
Jersey Never Seemed So Long,Future Plans Undecided,Element 101,140.8ø
In My Heart On My Mind,Future Plans Undecided,Element 101,151.1ø
Galaxy Apart_ A,Future Plans Undecided,Element 101,173.8ø
Between Now & Then,Future Plans Undecided,Element 101,192.8ø
The Right Hand Rule,Emo Diaries - Chapter Three - The Moment Of Truth,Epstein,244.4ø
The Lyries Of Eolou,The Holy Bible 1992-2002,On Thorns I Lay,396.4ø
Ophelia,Crystal Tears,On Thorns I Lay,219.8ø
My Angel,Crystal Tears,On Thorns I Lay,312.1ø
Midnight Falling,Crystal Tears,On Thorns I Lay,117.9ø
Feelings,Crystal Tears,On Thorns I Lay,424.0ø
Enigma,Crystal Tears,On Thorns I Lay,273.5ø
Eden,Crystal Tears,On Thorns I Lay,299.4ø
Crystal Tears II (Loosing Her),Crystal Tears,On Thorns I Lay,144.7ø
Crystal Tears,Crystal Tears,On Thorns I Lay,288.6ø
Jim Dawgs,The Legends of Savoy_ Vol 6,Ike Quebec,169.7ø
Tenth Avenue Tango,Classic Bruce Willis - The Universal Masters Collection,Bruce Willis,244.0ø
Soul Shake,Classic Bruce Willis - The Universal Masters Collection,Bruce Willis,172.3ø
Save The Last Dance For Me,Classic Bruce Willis - The Universal Masters Collection,Bruce Willis,228.8ø
Love Makes The World Go Round,Classic Bruce Willis - The Universal Masters Collection,Bruce Willis,173.7ø
I'll Go Crazy,Classic Bruce Willis - The Universal Masters Collection,Bruce Willis,208.8ø
Here Comes Trouble Again,Classic Bruce Willis - The Universal Masters Collection,Bruce Willis,291.6ø
The Sound Of Silence,My Diane,The Bachelors,161.9ø
Ballade Der XI. Brigade,Canciones De Las Brigadas Internacionales,Ernst Busch,272.2ø
Voice Of Delusion,Off The Ground,Oforia,433.3ø
Visionary Existence,Off The Ground,Oforia,433.9ø
Van Alien,Off The Ground,Oforia,418.2ø
The Morning Song,Off The Ground,Oforia,581.7ø
Raw,Off The Ground,Oforia,499.6ø
New Frontier,Off The Ground,Oforia,570.8ø
E-Motion,Off The Ground,Oforia,443.2ø
Bionic Dog,Off The Ground,Oforia,436.8ø
Aquatech,Off The Ground,Oforia,506.8ø
The Sickness,Immortalized,3xKrazy,232.8ø
Reactions,Immortalized,3xKrazy,292.6ø
Fuck Wit Dis,Immortalized,3XKrazy_ Lil Tigger,268.6ø
Friday,Immortalized,3xKrazy,234.0ø
Eliminations,Immortalized,3XKrazy_ Ali Malek_ Burnie,263.9ø
Death Call,Immortalized,3xKrazy,258.7ø
Merle's Boogie Woogie,Backline Volume 7,Merle Travis,182.6ø
Supagorgonizer,Our Problem,Iron Monkey,239.4ø
Boss Keloid,Our Problem,Iron Monkey,323.2ø
Outro Lugar,Pacha Anthems,Salome De Bahia,214.0ø
Storm Warning,Quannum Spectrum,Latyrx,345.9ø
Walkie Talkie [Bonus track] (Album),Anthem,Toyah,119.9ø
Voodoo Doll [Bonus track] (Album),The Changeling,Toyah,240.1ø
The Packt (Album),The Changeling,Toyah,292.2ø
The Druids (Album),The Changeling,Toyah,211.4ø
Run Wild_ Run Free (Album),The Changeling,Toyah,241.9ø
Pop Star (Album),Anthem,Toyah,236.0ø
Jungles of Jupiter (Album),Anthem,Toyah,312.2ø
I Am (Album),Anthem,Toyah,202.8ø
Good Morning Universe [Bonus track] (Album),The Changeling,Toyah,217.8ø
For You [Bonus track] (Album),Anthem,Toyah,186.6ø
Creepy Room (Album),The Changeling,Toyah,200.2ø
Whiskey And Gin,Such A Night,Johnny Ray,164.5ø
What's The Use?,Five Star Crooners,Johnnie Ray,174.1ø
Walking My Baby Back Home,Song Of The Dreamer,Johnnie Ray,144.1ø
Walkin' My Baby Back Home,Back To The 50's,Johnnie Ray,142.2ø
The Lady Drinks Champagne,A Sinner Am I,Johnnie Ray,198.1ø
Tell The Lady I Said Goodbye,Such A Night,Johnny Ray,160.3ø
She Didn't Say Nothin' At All,Johnnie's Coming Home,Johnnie Ray,136.3ø
Paths Of Paradise,If You Believe,Johnnie Ray,151.7ø
Mountains In The Moonlight,Johnnie's Coming Home,Johnnie Ray,156.3ø
Love Me (Baby Can't You Love Me),As Time Goes By,Johnnie Ray,124.9ø
I'm Just A Shadow Of Myself,As Time Goes By,Johnnie Ray,147.6ø
Don't Take Your Love From Me,Hysteria - The Singles,Johnnie Ray;The Buddy Cole Quartet,140.5ø
A Sinner Am I,A Sinner Am I,Johnnie Ray,179.9ø
(Here Am I) Broken Hearted,The Fabulous Johnnie Ray,Johnnie Ray,171.8ø
Polaris,Palm Beat s Volume One,Bostich,450.3ø
Zitten Voor De Blues,Naar Huis,De Poema's,262.1ø
Meu Erro,Estrebucha Baby,Zizi Possi,239.1ø
Move!,Move!,Christian Smith and John Selway,376.9ø
Cosmopolitan,International EP,Christian Smith & John Selway,366.1ø
Twilight Sleep,Atardecer,Friends Of Dean Martinez,324.0ø
Spoonie,Atardecer,Friends Of Dean Martinez,324.6ø
Quickening,Atardecer,Friends Of Dean Martinez,93.4ø
Otra Vez,Atardecer,Friends Of Dean Martinez,182.3ø
La Fin De L'ete,Atardecer,Friends Of Dean Martinez,187.0ø
Inner Sanctum,Atardecer,Friends Of Dean Martinez,274.4ø
Ethchlorvynol,Atardecer,Friends Of Dean Martinez,135.1ø
Coppertone,Atardecer,Friends Of Dean Martinez,124.2ø
Contact,Atardecer,Friends Of Dean Martinez,201.8ø
Casa Mila,Atardecer,Friends Of Dean Martinez,237.9ø
Atardecer,Atardecer,Friends Of Dean Martinez,209.7ø
The Poem Of Dark Subconscious Desire,Traces O` Red,Enslavement Of Beauty,305.4ø
Something Unique,Traces O` Red,Enslavement Of Beauty,254.1ø
My Irreverent Pilgrimage,Traces O` Red,Enslavement Of Beauty,254.2ø
In Thro' The Cave Of Impressions,Traces O` Red,Enslavement Of Beauty,89.4ø
Eerily Seductive,Traces O` Red,Enslavement Of Beauty,272.4ø
Dreams,Traces O` Red,Enslavement Of Beauty,264.8ø
And Still I Wither,Traces O` Red,Enslavement Of Beauty,313.8ø
You Can't Hurry The Moon,The Velveteen Rabbit,Michael Allen Harrison,166.5ø
Magic Everywhere,The Velveteen Rabbit,Michael Allen Harrison,200.9ø
Watchers Of The Canyon (Album Version),Enter The Earth,Burning Sky,193.0ø
Warrior's Dance (Album Version),Enter The Earth,Burning Sky,234.5ø
Tribal Stomp (Album Version),Enter The Earth,Burning Sky,200.0ø
Spirit Within (Album Version),Enter The Earth,Burning Sky,198.5ø
Shash Yaazh (Album Version),Enter The Earth,Burning Sky,172.0ø
Red Earth Walkabout (Album Version),Enter The Earth,Burning Sky,87.5ø
Out From The Darkness (Album Version),Enter The Earth,Burning Sky,60.0ø
Night Sky Dreamtime (Album Version),Enter The Earth,Burning Sky,103.5ø
Circle Dance (Album Version),Enter The Earth,Burning Sky,179.5ø
Call Of The Thunder Beings (Album Version),Enter The Earth,Burning Sky,176.0ø
Awaken The People (healing Song) (Album Version),Enter The Earth,Burning Sky,133.5ø
Across The Big Water Of The East (the Celts Came) (Album Version),Enter The Earth,Burning Sky,252.0ø
8 X 10,The Definitive Collection,Bill Anderson,167.1ø
Still You Love- Album Version,Blaze,Code Of Ethics,252.7ø
Pure And Holy - Album Version,Blaze,Code Of Ethics,293.5ø
Psalm 19 - Album Version,Blaze,Code Of Ethics,270.7ø
My Everything - Album Version,Blaze,Code Of Ethics,243.3ø
Move Me - Album Version,Blaze,Code Of Ethics,261.2ø
I Love You Lord/Here Is My Heart (Medley)- Album Version,Blaze,Code Of Ethics,255.6ø
Father - Album Version,Blaze,Code Of Ethics,193.9ø
Exalted- Album Version,Blaze,Code Of Ethics,214.6ø
Better- Album Version,Blaze,Code Of Ethics,239.1ø
Cranes (Robin Guthrie Remix),Moonshake Remixes,Moonshake,297.9ø
Peacenick,Gods & Sods,Too Much Joy,242.1ø
No Reason,Gods & Sods,Too Much Joy,241.1ø
Mary Matalin,Gods & Sods,Too Much Joy,276.2ø
Hello Love Tractor,Gods & Sods,Too Much Joy,252.1ø
Fuck Shop,Gods & Sods,Too Much Joy,161.2ø
Even the Queen,Gods & Sods,Too Much Joy,192.1ø
Death Ray Machine,Gods & Sods,Too Much Joy,185.5ø
Big Gringo,Gods & Sods,Too Much Joy,172.9ø
Barney Garden,Gods & Sods,Too Much Joy,211.7ø
A Texas Sunday,Gods & Sods,Too Much Joy,236.8ø
O Nego No Samba,Carmen Miranda Vol. 1_ 2 E 3,Carmen Miranda,204.4ø
Minha Embaixada Chegou,Carmen Miranda Vol. 1_ 2 E 3,Carmen Miranda,175.6ø
Ao Voltar do Samba,O Que e Que a Baiana Tem,Carmen Miranda_ Carmen Miranda,193.5ø
Mud & Guts,Up The Dosage!,Scissorfight,205.3ø
To Kill is Human,To Kill Is Human,Drawn & Quartered,153.9ø
The Hills Run Red,To Kill Is Human,Drawn & Quartered,144.7ø
Punishmentof Burning Torment,To Kill Is Human,Drawn & Quartered,137.8ø
Open Mind,To Kill Is Human,Drawn & Quartered,246.2ø
Ministry of Torture,To Kill Is Human,Drawn & Quartered,153.0ø
Mangled Beyond Recognition,To Kill Is Human,Drawn & Quartered,185.5ø
Machete Bloodbath,To Kill Is Human,Drawn & Quartered,174.2ø
Implements Of Hell,To Kill Is Human,Drawn & Quartered,330.6ø
Carnal Copulation,To Kill Is Human,Drawn & Quartered,46.2ø
Broken On the Wheel,To Kill Is Human,Drawn & Quartered,234.7ø
The Sunless Smile,Electronegative,Nightfall,203.1ø
The Sheer Misfit,Diva Futura,Nightfall,261.5ø
Some Deaths Take For Ever,Diva Futura,Nightfall,235.1ø
Sin,Diva Futura,Nightfall,262.6ø
Pleasure,Diva Futura,Nightfall,316.4ø
Picture Me,Diva Futura,Nightfall,249.2ø
My Traitor's Kiss,Diva Futura,Nightfall,252.6ø
Master_ Faster_ Sweet Desaster,Diva Futura,Nightfall,207.8ø
Lowve,Diva Futura,Nightfall,274.1ø
Licked One's Iced Lips,Diva Futura,Nightfall,358.6ø
Diva,Diva Futura,Nightfall,257.6ø
Dead Don't Need Revenge,Electronegative,Nightfall,302.7ø
Ceaseless,Diva Futura,Nightfall,280.4ø
Hiljaisuus,Maa,Aikakone,309.2ø
Run Run,Now Unreleased Alternate Versions,Rod Taylor,211.2ø
I'll Return,Truth_ Corrosion And Sour Bisquits,Fastbacks,249.8ø
Streetcar Blues,Times Ain't Like They Used To Be: Early American Rural Music_ Vol. 3,Sleepy John Estes,194.8ø
Tracery / Tana Dery Na (Waterlily Mix),Natural Thing,Poi Dog Pondering,491.7ø
That's the Way Love Is,Natural Thing,Poi Dog Pondering,297.0ø
Ta Bouche Est Tabou (French Mix),Natural Thing,Poi Dog Pondering,348.6ø
Spend My Life (Moorea Mix),Natural Thing,Poi Dog Pondering,515.1ø
Octavio / Beautiful To Meet You,Natural Thing,Poi Dog Pondering,535.7ø
Natural Thing,Soul Sonic Orchestra,Poi Dog Pondering,428.0ø
Jealous,Natural Thing,Poi Dog Pondering,332.3ø
Hard Sometime,Natural Thing,Poi Dog Pondering,318.1ø
Diva (Live at House of Sound),Natural Thing,Poi Dog Pondering,470.1ø
Come Together,Natural Thing,Poi Dog Pondering,300.8ø
